"Thread","Method","Exit","Time (microseconds)"
"AWT-EventQueue-0","java.awt.EventDispatchThread.run()","false",0
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",0
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",750
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",496408
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",496419
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",497294
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",497304
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",1000540
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",1000549
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",1001600
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",1001607
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",1506544
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",1506549
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",1507690
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",1507696
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","false",1665993
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","true",1666007
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary2()","false",1666010
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary2()","true",1666011
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","false",1666276
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","true",1666279
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","false",1666311
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","true",1666312
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","false",1666435
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","true",1666436
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","false",1666464
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","true",1666465
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1666866
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1666874
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1666939
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1666941
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1666978
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1666982
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1667011
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1667012
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1667039
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1667040
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1667067
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1667068
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1667094
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1667096
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1667121
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1667122
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1669355
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1669382
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1669478
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1669485
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1675002
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1675010
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1675022
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1675023
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1675717
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1675742
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1675803
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1675805
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1677146
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1677169
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1677225
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1677228
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",1688081
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",1688088
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688479
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688483
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688493
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688498
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688592
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688594
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688599
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688600
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688647
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688648
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688652
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688653
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688694
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688695
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688699
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688700
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688737
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688738
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688741
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688742
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688783
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688784
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688788
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688789
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688823
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688825
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688828
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688829
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688864
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688865
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688869
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688870
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688913
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688914
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688918
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688919
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","false",1688957
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary1()","true",1688958
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","false",1688962
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary3()","true",1688963
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","false",1688993
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getSecondary2()","true",1688995
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","false",1689444
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","true",1689449
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","false",1689450
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","true",1689451
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","false",1689452
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","true",1689453
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","false",1689492
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","true",1689493
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","false",1689494
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","true",1689495
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","false",1689496
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary1()","true",1689496
"AWT-EventQueue-0","com.sunshine.sunsdk.swing.Theme.DarkGoldMetalTheme.getPrimary3()","false",1689529
